UNIQUE_ID,YEAR,COUNTRY,REGION,CONTINENT,HAPPINESS_SCORE,HAPPINESS_RANK,HAPPINESS_RANK_DECILE,HAPPINESS_RANK_QUARTILE,ECONOMY_GDP_PER_CAPITA_SCORE,ECONOMY_GDP_PER_CAPITA_RANK,ECONOMY_GDP_PER_CAPITA_RANK_DECILE,ECONOMY_GDP_PER_CAPITA_RANK_QUARTILE,ECONOMY_GDP_PER_CAPITA_PCT,FAMILY_SCORE,FAMILY_RANK,FAMILY_RANK_DECILE,FAMILY_RANK_QUARTILE,FAMILY_PCT,HEALTH_LIFE_EXPECTANCY_SCORE,HEALTH_LIFE_EXPECTANCY_RANK,HEALTH_LIFE_EXPECTANCY_RANK_DECILE,HEALTH_LIFE_EXPECTANCY_RANK_QUARTILE,HEALTH_LIFE_EXPECTANCY_PCT,FREEDOM_SCORE,FREEDOM_RANK,FREEDOM_RANK_DECILE,FREEDOM_RANK_QUARTILE,FREEDOM_PCT,GENEROSITY_SCORE,GENEROSITY_RANK,GENEROSITY_RANK_DECILE,GENEROSITY_RANK_QUARTILE,GENEROSITY_PCT,TRUST_GOVERNMENT_CORRUPTION_SCORE,TRUST_GOVERNMENT_CORRUPTION_RANK,TRUST_GOVERNMENT_CORRUPTION_RANK_DECILE,TRUST_GOVERNMENT_CORRUPTION_RANK_QUARTILE,TRUST_GOVERNMENT_CORRUPTION_PCT
Oman_2015,2015,Oman,"Arab States",Asia,6.853,22,2,1,1.36011,11,1,1,0.3106614478744767,1.08182,66,5,2,0.24709748476906845,0.76276,53,4,2,0.1742212858650148,0.63274,14,1,1,0.1445235492324972,0.21542,79,5,2,0.04920387665498111,0.32524,16,1,1,0.07428775739423436
"Saudi Arabia_2015",2015,"Saudi Arabia","Arab States",Asia,6.411,35,3,1,1.39541,8,1,1,0.35128692249162996,1.08393,65,5,2,0.2728735319938858,0.72025,74,5,2,0.18131905331443005,0.31048,123,8,4,0.07816166414050003,0.13706,124,8,4,0.034504115731943,0.32524,17,2,1,0.08187741136474279
"United Kingdom_2015",2015,"United Kingdom",Europe,Europe,6.867,21,2,1,1.26637,27,2,1,0.25859801957754225,1.28548,19,2,1,0.2625003535825323,0.90943,16,1,1,0.18570938441877533,0.59625,26,2,1,0.12175672314363571,0.51912,3,1,1,0.10600645314290202,0.32067,18,2,1,0.06548214611476211
Netherlands_2015,2015,Netherlands,Europe,Europe,7.378,7,1,1,1.32944,16,1,1,0.2706349434001568,1.28017,20,2,1,0.2606050113671447,0.89284,21,2,1,0.18175601066197936,0.61576,20,2,1,0.12535065946232224,0.4761,7,1,1,0.09691997846598173,0.31814,19,2,1,0.06476396157210564
Turkmenistan_2015,2015,Turkmenistan,"Asia & Pacific",Asia,5.548,70,5,2,0.95847,73,5,2,0.26058410467326454,1.22668,37,3,1,0.33350373449491766,0.53886,113,8,3,0.14650261203816956,0.4761,65,5,2,0.12943972512919533,0.16979,109,7,3,0.04616166981168246,0.30844,20,2,1,0.08385714972344031
Uzbekistan_2015,2015,Uzbekistan,"Asia & Pacific",Asia,6.003,44,3,2,0.63244,110,7,3,0.1679524374656041,1.34043,5,1,1,0.3559681545455029,0.59772,106,7,3,0.15873211697484643,0.65821,5,1,1,0.17479598934483337,0.22837,69,5,2,0.06064654231966665,0.30826,21,2,1,0.08186234220934648
Bahrain_2015,2015,Bahrain,"Arab States",Asia,5.96,49,4,2,1.32376,20,2,1,0.3135363839155568,1.21624,40,3,1,0.28806996535981144,0.74716,56,4,2,0.17696700633919546,0.45492,73,5,2,0.10774911338368869,0.17362,107,7,3,0.041122398156476184,0.306,22,2,1,0.07247698171680766
Ireland_2015,2015,Ireland,Europe,Europe,6.94,18,2,1,1.33596,13,1,1,0.2691134743572759,1.36948,2,1,1,0.275865681727024,0.89533,20,2,1,0.1803537266632323,0.61777,18,2,1,0.1244425219386226,0.45901,11,1,1,0.09246218029305703,0.28703,23,2,1,0.0578188282958566
Djibouti_2015,2015,Djibouti,"Arab States",Africa,4.369,126,8,4,0.44025,126,8,4,0.1899471529051321,0.59207,144,10,4,0.25545032437888243,0.36291,129,9,4,0.15657858097457267,0.46074,70,5,2,0.1987876192684389,0.18093,104,7,3,0.07806277869077416,0.28105,24,2,1,0.12125984225644428
Kuwait_2015,2015,Kuwait,"Arab States",Asia,6.295,39,3,1,1.55422,3,1,1,0.3517401079635261,1.16594,50,4,2,0.26386733410659413,0.72492,69,5,2,0.16405877969235055,0.55499,38,3,1,0.12560142395242138,0.16228,115,8,3,0.03672606438492946,0.25609,25,2,1,0.05795648064836713
Uruguay_2015,2015,Uruguay,"South/Latin America","South America",6.485,32,2,1,1.06166,54,4,2,0.2549872959444541,1.2089,41,3,2,0.2903510735443734,0.8116,40,3,1,0.19492840164823175,0.60362,24,2,1,0.14497619038211576,0.2324,65,5,2,0.05581734711284297,0.24558,26,2,1,0.05898289262964358
Laos_2015,2015,Laos,"Asia & Pacific",Asia,4.876,99,7,3,0.59066,117,8,3,0.18822756897962223,0.73803,134,9,4,0.23519046738973318,0.54909,111,7,3,0.17498033603769403,0.59591,28,2,1,0.18990061555182464,0.42192,15,1,1,0.13445464296493614,0.24249,27,2,1,0.07727508862316554
Belgium_2015,2015,Belgium,Europe,Europe,6.937,19,2,1,1.30782,21,2,1,0.28920250854720436,1.28566,18,2,1,0.28430220980694526,0.89667,19,2,1,0.19828356815749285,0.5845,31,2,1,0.12925240122309364,0.2225,74,5,2,0.04920215240819825,0.2254,28,2,1,0.04984343986942167
Germany_2015,2015,Germany,Europe,Europe,6.75,26,2,1,1.32792,17,2,1,0.28654102940650655,1.29937,15,1,1,0.28038047701619095,0.89186,22,2,1,0.19244720505841612,0.61477,21,2,1,0.1326562086419153,0.28214,46,3,2,0.0608806891039863,0.21843,29,2,1,0.04713322959166218
Mexico_2015,2015,Mexico,"South/Latin America","North America",7.187,14,1,1,1.02054,63,4,2,0.28468058509209104,0.91451,107,7,3,0.2551034211776649,0.81444,38,3,1,0.22718880137738834,0.48181,63,4,2,0.1344013501071296,0.14074,121,8,4,0.039259556336555645,0.21312,30,2,1,0.05945002248604549
France_2015,2015,France,Europe,Europe,6.575,29,2,1,1.27778,25,2,1,0.29281765993724146,1.26038,25,2,1,0.2888302483585754,0.94579,8,1,1,0.21673840594560922,0.55011,40,3,1,0.12606388480133504,0.12332,128,9,4,0.02826016353954911,0.20646,31,2,1,0.04731262905434787
